#  E (eV)   dos(E)     Int dos(E)
  -31.026719646  0.74853804E-10  0.10184379E-10
  -30.890662715  0.65912026E-06  0.89688065E-07
  -30.754605784  0.78648626E-03  0.10709659E-03
  -30.618548852  0.12717281E+00  0.17409839E-01
  -30.482491921  0.27866000E+01  0.39654608E+00
  -30.346434990  0.82743227E+01  0.15223250E+01
  -30.210378059  0.33294125E+01  0.19753147E+01
  -30.074321128  0.18154303E+00  0.20000149E+01
  -29.938264196  0.13414284E-02  0.20001974E+01
  -29.802207265  0.13431674E-05  0.20001976E+01
  -29.666150334  0.18224933E-09  0.20001976E+01
  -29.530093403  0.33509884E-14  0.20001976E+01
  -29.394036471  0.83492765E-20  0.20001976E+01
  -29.257979540  0.28189739E-26  0.20001976E+01
  -29.121922609  0.12897236E-33  0.20001976E+01
  -28.985865678  0.79958069E-42  0.20001976E+01
  -28.849808746  0.67171409E-51  0.20001976E+01
  -28.713751815  0.76464390E-61  0.20001976E+01
  -28.577694884  0.11794579E-71  0.20001976E+01
  -28.441637953  0.28898440E-83  0.20001976E+01
  -28.305581022  0.43613567E-84  0.20001976E+01
  -28.169524090  0.43613567E-84  0.20001976E+01
  -28.033467159  0.43613567E-84  0.20001976E+01
  -27.897410228  0.43613567E-84  0.20001976E+01
  -27.761353297  0.43613567E-84  0.20001976E+01
  -27.625296365  0.43613567E-84  0.20001976E+01
  -27.489239434  0.43613567E-84  0.20001976E+01
  -27.353182503  0.43613567E-84  0.20001976E+01
  -27.217125572  0.43613567E-84  0.20001976E+01
  -27.081068640  0.43613567E-84  0.20001976E+01
  -26.945011709  0.43613567E-84  0.20001976E+01
  -26.808954778  0.43613567E-84  0.20001976E+01
  -26.672897847  0.43613567E-84  0.20001976E+01
  -26.536840916  0.43613567E-84  0.20001976E+01
  -26.400783984  0.43613567E-84  0.20001976E+01
  -26.264727053  0.43613567E-84  0.20001976E+01
  -26.128670122  0.43613567E-84  0.20001976E+01
  -25.992613191  0.43613567E-84  0.20001976E+01
  -25.856556259  0.43613567E-84  0.20001976E+01
  -25.720499328  0.43613567E-84  0.20001976E+01
  -25.584442397  0.43613567E-84  0.20001976E+01
  -25.448385466  0.43613567E-84  0.20001976E+01
  -25.312328534  0.43613567E-84  0.20001976E+01
  -25.176271603  0.43613567E-84  0.20001976E+01
  -25.040214672  0.43613567E-84  0.20001976E+01
  -24.904157741  0.43613567E-84  0.20001976E+01
  -24.768100810  0.43613567E-84  0.20001976E+01
  -24.632043878  0.43613567E-84  0.20001976E+01
  -24.495986947  0.43613567E-84  0.20001976E+01
  -24.359930016  0.43613567E-84  0.20001976E+01
  -24.223873085  0.43613567E-84  0.20001976E+01
  -24.087816153  0.43613567E-84  0.20001976E+01
  -23.951759222  0.43613567E-84  0.20001976E+01
  -23.815702291  0.43613567E-84  0.20001976E+01
  -23.679645360  0.43613567E-84  0.20001976E+01
  -23.543588429  0.43613567E-84  0.20001976E+01
  -23.407531497  0.43613567E-84  0.20001976E+01
  -23.271474566  0.43613567E-84  0.20001976E+01
  -23.135417635  0.43613567E-84  0.20001976E+01
  -22.999360704  0.43613567E-84  0.20001976E+01
  -22.863303772  0.43613567E-84  0.20001976E+01
  -22.727246841  0.43613567E-84  0.20001976E+01
  -22.591189910  0.43613567E-84  0.20001976E+01
  -22.455132979  0.43613567E-84  0.20001976E+01
  -22.319076047  0.43613567E-84  0.20001976E+01
  -22.183019116  0.43613567E-84  0.20001976E+01
  -22.046962185  0.43613567E-84  0.20001976E+01
  -21.910905254  0.54929345E-84  0.20001976E+01
  -21.774848323  0.65674271E-73  0.20001976E+01
  -21.638791391  0.48630978E-62  0.20001976E+01
  -21.502734460  0.49302011E-52  0.20001976E+01
  -21.366677529  0.68510688E-43  0.20001976E+01
  -21.230620598  0.13065557E-34  0.20001976E+01
  -21.094563666  0.34239185E-27  0.20001976E+01
  -20.958506735  0.12345204E-20  0.20001976E+01
  -20.822449804  0.61318715E-15  0.20001976E+01
  -20.686392873  0.42006502E-10  0.20001976E+01
  -20.550335941  0.39730562E-06  0.20001976E+01
  -20.414279010  0.51927790E-03  0.20002683E+01
  -20.278222079  0.93849327E-01  0.20130371E+01
  -20.142165148  0.23463874E+01  0.23322794E+01
  -20.006108217  0.81165060E+01  0.34365863E+01
  -19.870051285  0.38840369E+01  0.39650364E+01
  -19.733994354  0.25702302E+00  0.40000062E+01
  -19.597937423  0.23505098E-02  0.40003260E+01
  -19.461880492  0.29682080E-05  0.40003264E+01
  -19.325823560  0.51706247E-09  0.40003264E+01
  -19.189766629  0.12411825E-13  0.40003264E+01
  -19.053709698  0.41008337E-19  0.40003264E+01
  -18.917652767  0.18626934E-25  0.40003264E+01
  -18.781595835  0.11618092E-32  0.40003264E+01
  -18.645538904  0.99393293E-41  0.40003264E+01
  -18.509481973  0.11650203E-49  0.40003264E+01
  -18.373425042  0.18690253E-59  0.40003264E+01
  -18.237368111  0.40999814E-70  0.40003264E+01
  -18.101311179  0.12329400E-81  0.40003264E+01
  -17.965254248  0.43613567E-84  0.40003264E+01
  -17.829197317  0.43613567E-84  0.40003264E+01
  -17.693140386  0.43613567E-84  0.40003264E+01
  -17.557083454  0.43613567E-84  0.40003264E+01
  -17.421026523  0.43613567E-84  0.40003264E+01
  -17.284969592  0.43613567E-84  0.40003264E+01
  -17.148912661  0.43613567E-84  0.40003264E+01
  -17.012855729  0.43613567E-84  0.40003264E+01
  -16.876798798  0.43613567E-84  0.40003264E+01
  -16.740741867  0.43613567E-84  0.40003264E+01
  -16.604684936  0.43613567E-84  0.40003264E+01
  -16.468628005  0.43613567E-84  0.40003264E+01
  -16.332571073  0.43613567E-84  0.40003264E+01
  -16.196514142  0.43613567E-84  0.40003264E+01
  -16.060457211  0.43613567E-84  0.40003264E+01
  -15.924400280  0.43613567E-84  0.40003264E+01
  -15.788343348  0.43613567E-84  0.40003264E+01
  -15.652286417  0.43613567E-84  0.40003264E+01
  -15.516229486  0.43613567E-84  0.40003264E+01
  -15.380172555  0.43613567E-84  0.40003264E+01
  -15.244115623  0.43613567E-84  0.40003264E+01
  -15.108058692  0.43613567E-84  0.40003264E+01
  -14.972001761  0.43613567E-84  0.40003264E+01
  -14.835944830  0.43613567E-84  0.40003264E+01
  -14.699887899  0.43613567E-84  0.40003264E+01
  -14.563830967  0.43613567E-84  0.40003264E+01
  -14.427774036  0.43613567E-84  0.40003264E+01
  -14.291717105  0.18574712E-82  0.40003264E+01
  -14.155660174  0.67646971E-71  0.40003264E+01
  -14.019603242  0.34334933E-60  0.40003264E+01
  -13.883546311  0.23741165E-50  0.40003264E+01
  -13.747489380  0.22381281E-41  0.40003264E+01
  -13.611432449  0.28794942E-33  0.40003264E+01
  -13.475375517  0.50624631E-26  0.40003264E+01
  -13.339318586  0.12184092E-19  0.40003264E+01
  -13.203261655  0.40244715E-14  0.40003264E+01
  -13.067204724  0.18313151E-09  0.40003264E+01
  -12.931147793  0.11551152E-05  0.40003266E+01
  -12.795090861  0.10209732E-02  0.40004655E+01
  -12.659033930  0.12923098E+00  0.40180482E+01
  -12.522976999  0.24662818E+01  0.43536030E+01
  -12.386920068  0.82536240E+01  0.54765657E+01
  -12.250863136  0.79459674E+01  0.65576697E+01
  -12.114806205  0.59201569E+01  0.73631480E+01
  -11.978749274  0.54851618E+01  0.81094423E+01
  -11.842692343  0.63216967E+01  0.89695530E+01
  -11.706635411  0.58681605E+01  0.97679569E+01
  -11.570578480  0.16279686E+01  0.99894533E+01
  -11.434521549  0.80159846E-01  0.10000360E+02
  -11.298464618  0.59687286E-03  0.10000441E+02
